OBJECTID,PIDN,DISTRICT,MAP,COMMENT,PIDN_ORIGINAL,RESOLUTION,RES_DATE,BOOK,PAGE,INSTRUMENT,REC_DATE,LAST_REVIEW,FLAG,RES_ACRES
21296,27000QG0089N0,27,QG,,27000QG008900,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21297,27000QG0089P0,27,QG,,27000QG008900,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21298,27000QG0089U0,27,QG,,27000QG008900,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,,0
21299,46000LI009600,46,LI,,46000LI009600,97-16,1997/02/27 00:00:00+00,1287,3817,1997016624,1997/04/01 00:00:00+00,1970/01/01 00:00:00+00,,13
21300,47000FI0069A0,47,FI,,47000FI0069A0,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,2010/02/01 00:00:00+00,,16.70999908
21301,47000EI003900,47,EI,,47000EI003900,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,2010/02/01 00:00:00+00,,91.69999695
21302,47000FI009500,47,FI,,47000FI009500,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,2010/02/01 00:00:00+00,,11.69999981
21303,47000FI011100,47,FI,<Null>,47000FI011100,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,2010/02/01 00:00:00+00,,27.21999931
21304,47000FI011300,47,FI,,47000FI011300,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,2010/02/01 00:00:00+00,,45.70999908
21305,47000FI0129A0,47,FI,,47000FI0129A0,2017-03,2017/01/03 00:00:00+00,2407,7884,2017005951,2017/02/07 00:00:00+00,2010/02/01 00:00:00+00,,4.03000021
21307,36000LH0133J0,36,LH,,36000LH013300,2005-19,2005/09/13 00:00:00+00,1755,2335,2005070964,2005/09/14 00:00:00+00,1970/01/01 00:00:00+00,1 acre or less,0
21308,27000QH002900,27,QH,,27000QH002900,91-7,1991/08/19 00:00:00+00,0223,1078,1991039098,1991/08/21 00:00:00+00,1970/01/01 00:00:00+00,,139.66000366
